Layer,Train Accuracy,Test Accuracy,Test Macro F1,Test Weighted F1,Silhouette Score
0,0.4609375,0.321875,0.05900620041289816,0.23590753700823375,-0.2573448370539177
4,0.45390625,0.321875,0.06325806209454228,0.2432424606558453,-0.2841250410010391
10,0.46015625,0.346875,0.06820971068860933,0.2603135558902207,-0.2841551131421868
12,0.4578125,0.33125,0.06404785555487982,0.24872400109469078,-0.2841599784719235
14,0.44296875,0.309375,0.06167618211096472,0.21714550395256915,-0.2841449394403144
16,0.46015625,0.346875,0.06917442521466903,0.25991281906020836,-0.28414172305942365
18,0.453125,0.340625,0.08064374821287264,0.25579491684870426,-0.2841477293705895
20,0.45859375,0.3125,0.0647522916071587,0.24176016862224864,-0.28416625269341683
24,0.44765625,0.284375,0.05307936790010627,0.21026882104301134,-0.28418362552301424
26,0.45625,0.309375,0.08107314819953125,0.2353035485530226,-0.2849071965438429
28,0.453125,0.31875,0.062092956367723454,0.24384633202760608,-0.29133320946695684
